ResponseTime,Availability,Throughput,Successability,Reliability,Compliance,BestPractices,Latency,ServiceName
118.1,45,2.4,46,67,78,72,3.35,SimpleTest
199.17,56,7.3,56,67,78,77,55.5,CRMTeeTimeAPI
158.9,61,3.5,61,67,78,72,41,SoapTest
386.4,100,3.6,100,73,100,84,4.8,embossversionService
167,72,15.4,72,78,89,89,7,IRomanservice
398.17,66,2.8,66,80,89,83,70.75,Service
273.6,88,13,96,73,100,84,7.4,restoverService
190,98,3.7,99,89,78,93,17.75,eUtilsService
1201,83,12,84,78,89,89,2,Systamex
668.75,79,2.6,79,73,67,80,35.75,Reed_x0020_Affiliates_x0020_WebService
145.25,56,11.8,56,78,78,89,4.75,ObjectStateManager
208.5,100,11.3,100,80,89,65,50.5,GetPeopleSearch
305.4,89,1.4,96,50,100,72,40,plotconService
99,88,0.7,96,73,100,75,53,OcrService
539.72,23,4,24,60,78,83,146.94,IXMLWSservice
929,86,5.3,86,73,78,80,68,BankFinder
401.14,43,4.1,43,83,89,91,9.57,DDBJ
224,75,14.8,76,78,89,89,3.33,sandriniWebService
424.57,50,1.7,51,73,89,80,328.57,ZipCode
164.5,72,12.5,72,73,100,84,5.5,timeDateEmail
292,100,9.3,100,73,100,80,111,MetarService
729,94,15.2,98,73,100,80,480,MarketData
122.93,93,16,98,60,100,74,12.5,SchemaWeb
253,100,10.6,100,67,100,72,18,TerraService
277.4,93,1,98,73,100,84,11.2,compseqService
81,70,8.5,70,73,89,84,38.75,MathTools
379.78,85,2.3,85,53,89,66,106.04,AnalysisWSAppLabImplService
170.25,56,4.2,57,60,100,79,8.5,SubscriptionManager
79,83,32,84,78,89,89,3,FaxService
114.33,85,16.2,95,73,100,84,13,RandomService
402.78,87,6.9,95,60,78,74,132.63,XigniteQuotes
128.5,72,21.7,72,78,89,89,8.5,ITempConverterservice
83,87,15.2,96,73,78,62,1,KUAMNewsSyndicatedHeadlines
41,83,24,84,60,89,74,3,WQS
725.63,88,3.5,96,67,78,77,1.47,VNetCenterInterfaceForSP
136.4,90,5.9,91,73,78,84,10.8,SoapTest
68.57,43,4.4,43,78,89,89,2.86,WMLS
217.5,78,9.5,78,73,89,80,55.25,WahooScoresService
603.5,85,10.7,86,73,89,84,473.5,ErrorReporter
137.75,79,2.4,79,67,78,72,100,PhoneVerify
149,96,24.2,99,89,78,93,1.5,eUtilsService
641.5,96,4.4,99,73,78,84,33.5,ICD10
68,97,5.1,99,73,89,84,1,NycAddressService
333,83,21.9,84,83,89,91,7,Bible
205,65,9.8,66,73,67,84,27.42,Events
123.45,86,7.2,87,67,100,77,5.8,AWSECommerceService
98.4,93,18.9,98,73,78,62,23.8,fandgSubscriptionWS
287,89,12,96,67,100,82,1,WSCUVocal
235,83,23.5,84,67,78,72,1,ReporteAereo
134,83,22.5,84,83,89,91,9,VersionService
350.5,86,12,86,73,89,84,55.5,SendPageService
214,85,1.4,95,73,100,84,10.8,silentService
189.5,72,14.9,72,83,89,91,7.5,RecommendationService
461,98,6.7,100,60,100,74,14.57,EconometricStats
211,87,24.6,96,73,100,84,1,Typograf
123,78,10.4,78,73,89,84,3.5,SessionService1
227.53,90,7.1,90,67,100,77,40.16,AWSECommerceService
126.83,100,15.7,100,67,78,77,1,XigniteTools
262.5,86,4.2,95,73,100,80,17.25,LandmarkService
69,56,8,56,83,89,91,8.25,RsvmService
192,83,24,84,83,89,91,8,LittServiceService
216.5,89,5.2,90,60,89,69,77,zipCodeClass
247.8,99,6.5,100,73,89,62,1.2,Service1
287.67,63,6.9,63,73,89,75,11.34,SkyBoT
154.1,53,8.6,54,67,89,77,72.62,DMReporting
514.5,86,1.4,95,73,78,62,15,bidlistconnection_web_services
222,73,6.8,74,73,89,80,84.67,Service
161,98,17.6,100,73,78,62,50.2,GBNIRHolidayService
117,83,23.3,84,67,89,82,4,IOremGeocoderservice
126.25,100,3.6,100,60,100,74,39.5,CurrencyRates
101,86,22.5,86,73,89,80,2.5,CityLocations
291,88,1.9,96,73,78,75,137,SRWSampleService
211,22,9.2,23,73,89,80,9.05,valdoc
172.57,90,9.7,97,67,100,66,10.24,Icon
138.07,30,1.7,30,72,89,86,2,WMLS
205.31,56,7.1,57,67,78,77,90.07,EPADWebServices
166.6,51,5.8,51,73,78,84,13.4,interop
470.43,43,4.5,43,78,78,89,8.29,ProFoxWS
288.87,84,2.1,84,53,89,66,94.7,AnalysisWSAppLabImplService
81,100,2,100,80,78,65,2,DeadOrAlive
404.5,99,3.4,100,73,89,62,37,StateInfoSrv
225,85,22.9,95,73,100,80,109,PetWebServices
260.6,100,13.5,100,67,100,82,42.4,showseqService
138,85,33,95,73,100,84,13,ATTSMS
93.3,60,13.4,61,73,67,84,31.4,DemographixQuery
229,98,13.9,99,73,100,84,7.6,transeqService
152.5,86,4.5,87,73,78,84,2,WSLoggildingar
255.25,67,1.4,67,73,89,80,34.5,SendServiceNoHeader
269,96,21.5,99,58,89,75,10,LOTTO_UK_NumberChecker
357.33,97,0.9,99,73,100,80,1.66,WsdlContractFirstService
225.5,86,10.1,86,73,78,84,2,PingPong
105.78,60,10.9,61,73,67,80,59.17,DelayedStockQuote
137,83,17.9,84,73,89,75,8,CarCalculatorServiceService
248,78,3.1,79,73,78,84,30.5,SearchNajdiSi
455.94,64,4.9,64,53,89,66,17.53,TexServices
411.12,39,6.2,39,73,100,84,24.87,MapService
274,100,14,100,73,100,84,6.6,emowseService
201.8,94,1.6,98,73,100,84,8,patmatdbService
848.15,21,3.5,21,78,78,89,451.15,interpublish
1164,88,13.4,96,83,78,91,11,2smsMessaging
427.65,86,1.4,86,53,89,66,120.48,AnalysisWSAppLabImplService
3343,83,5.5,84,83,89,91,2,SummaryService
1099,95,10.6,99,73,78,84,28,StockServices
319.83,84,1.1,84,53,89,66,108.96,AnalysisWSAppLabImplService
489.2,67,5.1,68,73,78,80,117.2,TimeZones
79.12,70,5.3,70,73,89,84,2.87,MathService
254.4,97,1.6,99,73,100,84,7.6,chipsService
409,87,18.1,96,73,78,84,1,WSDLInteropTestListService
202.4,89,1,96,73,100,84,9.2,nthseqService
287.4,91,1.3,97,50,100,72,36.6,prettyplotService
86.86,100,19.7,100,73,78,80,1,Distance
291.25,92,3,97,60,67,74,16.25,XmppService
137,83,21.6,84,73,89,84,7,myService
1391.5,89,3.4,96,73,78,84,45.5,EMBLNucleotideSequenceWebService
308.45,87,9.3,96,67,78,72,0.9,XigniteHoldings
3157.61,23,1.3,23,78,89,89,60.11,IdeasServiceService
312.97,93,6,98,67,78,58,25.7,FuelPricingServices
273.85,87,1.8,95,60,78,72,0.93,sfconnector
314,63,5.4,63,73,89,75,11.67,SkyBoT
142,97,20.8,99,73,100,84,2,IPHelpers
123.83,99,16.9,100,73,78,62,19,HolidayService
191,100,1.4,100,73,100,84,8.4,stssearchService
89,83,40.4,84,78,89,89,3,ISOcode2shortformatSOAP
110,83,24,84,73,89,84,3,Import1
179,79,2.8,79,73,89,80,29.75,XfccBasic
210,97,25.2,97,73,100,84,16,WhoIsService
436.6,90,1.3,91,73,100,84,90.2,showdbService
730.2,86,3.4,95,73,89,84,47.8,InsertRelation
166,86,25.7,95,73,89,62,100,NRA_x0020_ILA_x0020_News_x0020_and_x0020_Updates_x0020_Syndication
1703,83,9,84,83,89,91,6,ElementRefinementsService
161,72,14,72,83,89,91,5,HomeworkService
172,89,29.5,96,89,78,93,2,VasService
370.5,86,10.9,86,73,78,84,53,SMS
120.83,64,5.4,65,73,89,75,69.16,BlastbtService
137.75,78,13.4,78,73,89,84,1.75,CualEsMiIP
97,90,7.3,91,73,78,84,2.2,interop2B
189,83,27.6,84,78,89,89,1,SOAP
409.67,99,10.9,100,73,89,62,126.34,IT_x0040_Service_x0020_Webservices
217.4,87,15.1,96,73,100,84,7.2,wordmatchService
61.5,72,16.1,72,73,67,84,6,Remember_x0020_God
82.25,99,22.7,100,73,78,80,6.75,SdssFields
836.5,86,5.4,86,73,67,84,17,GoogleService
561.5,91,6.4,91,73,78,62,319,OTSZip
197.4,99,1.1,100,73,100,84,9.8,seqretsplitService
226,78,7.9,78,73,89,84,65.25,CEqImage
268.35,85,4.7,86,53,89,66,81.22,AnalysisWSAppLabImplService
131.36,90,2.3,97,60,67,79,4,Interop
129,89,10.7,89,73,78,84,7.75,WSDLInteropTestRpcEncService
81,93,35.6,98,58,89,75,1,AdminService
154,95,14.9,98,73,100,80,4,SimilarityService
143.67,93,11.2,93,80,78,78,17,symgateEngine
271.6,90,2.1,96,73,100,84,39.2,newseqService
147.33,91,16.6,97,73,100,84,18.41,ABAService
334,89,14.3,96,73,78,84,42,QueryCheckService
166,83,24.6,84,83,89,91,14,AssociatedCheckerService
158,72,10.4,72,67,78,82,10.5,TimeService
179.5,94,10.5,98,73,89,62,1.25,Servicio_medio_ambiente
116,87,18.6,96,60,89,69,7.56,MainService
677,83,12.1,84,73,100,84,503,TranslateSvc
173,91,24.1,97,73,89,62,102,NRA_x0020_ILA_x0020_News_x0020_and_x0020_Updates_x0020_Syndication
123.67,87,8.9,95,73,78,84,8.67,GoogleSearchService
178,56,5.2,57,78,89,89,16.75,IHessServiceservice
63.83,19,5.1,20,60,78,79,3.92,AmazonSearchService
874.75,56,3.4,57,73,89,75,102,IDEC_GeoServeis
481,83,18.5,84,78,89,89,4,ImgCount
170,87,7.2,95,73,78,80,29.6,SoapTest
194,56,10.5,56,78,89,89,72,WMLP
1376,99,8.2,95,83,89,91,856,ASPNLogin
300.48,85,2.9,86,53,89,66,90.57,AnalysisWSAppLabImplService
153.5,93,12.7,98,73,100,80,4,ThesaurusService
255,87,1.2,95,67,100,82,41.6,digestService
130.25,79,2.4,79,73,78,84,93.75,IP2Geo
60.18,93,13.1,98,67,100,77,8.93,AWSMechanicalTurkRequester
142.17,46,6.2,47,73,89,84,10.34,Euro42
137.81,63,2.5,64,73,89,84,11.12,ServerTime
208,92,1.1,97,73,100,84,9.2,cutseqService
110.78,85,13.2,95,73,78,80,1.78,DOTSFastWeather
1078.33,84,5.8,84,72,78,86,92.33,MAGGIE
237,97,20.7,99,73,100,80,35,WeatherStationService
1939,99,6.9,100,73,78,84,1,StockQuote
287.93,100,6.9,100,67,78,77,17.73,ABRXMLSearch
407,85,19.1,95,58,89,75,32,AdminService
464,67,2.2,67,80,89,83,38.42,Service
445,89,12.1,96,83,89,91,1.5,BulportFinanceService
484.5,78,5.9,79,67,89,72,43.5,AMIWebServiceService
3283,92,1.6,93,73,78,80,35.75,Search
664,83,13.6,84,83,89,91,53,VersionService
281.8,93,1.3,98,73,100,84,7.2,prophecyService
932,67,3.9,68,73,78,87,5.75,SumibiConvertService
113.2,51,5.5,51,73,78,84,4,XMethodsQuery
91.5,86,17.2,86,73,89,84,5,Service
386.44,27,6,28,60,78,79,8.2,IACHSOAPservice
505,100,6.1,100,73,78,84,11.33,GoogleSearchService
316.28,86,7.2,95,33,78,62,25.52,GSXWS
219,87,2.8,96,73,78,80,17,K4THotelAvailWS
85.25,78,9.2,78,73,89,84,3.5,UtilityService
459,98,9.5,100,73,89,80,3,LDAPService
3625.06,64,1.3,65,73,78,80,3.94,EnGraphGPS
214,86,17.8,86,80,89,87,2,SwissCities
169.4,90,6.4,91,73,78,84,28.2,SoapTest
210.4,90,4.3,96,73,100,84,8.4,tfmService
166,83,28.1,84,83,89,91,6,HelloService
148.06,52,7.8,53,67,89,77,88.18,Location
182,92,15.7,97,67,78,72,54,PixelsToXYService
126,94,1.9,98,60,100,74,37.67,USAddressVerification
175.5,96,4.7,99,60,100,74,58,Medicare
254.6,98,1.7,99,67,100,82,43.2,chipsService
237.8,99,14.3,100,73,100,84,9.6,infoseqService
621.2,85,8.3,95,73,78,80,10,MAPPResults
130.75,95,21.7,98,73,78,80,8,CafePressServices
163,96,16.2,99,73,78,84,12.25,MortgageIndex
112.83,98,4.1,100,73,100,84,45.16,Files
103.67,97,4.7,99,73,100,75,2,SearchService
312.5,21,3.1,22,42,100,72,25.9,SforceService
223.5,72,11.9,72,73,89,75,8,RecommendationService
126.25,91,12.2,97,73,89,75,10,WSDLInteropTestRpcEncService
95.38,62,13.7,62,73,78,80,55.88,EmailVerNoTestEmail
118.75,86,12.8,95,67,78,77,0.87,XigniteSurvey
294.6,94,13,98,73,100,84,8.4,restrictService
280.61,85,4.8,86,53,89,66,85.7,AnalysisWSAppLabImplService
107.33,63,15.1,63,73,100,84,4,wsaTestService
82.67,93,1.8,98,67,78,77,1.67,CPP_SCORING_REQUEST
229.6,88,11.9,96,73,100,84,10,showseqService
355,66,2.7,67,80,89,83,68.75,Service
151,92,12.2,97,73,100,80,4.5,CooccurrencesAllService
268.2,93,1.2,98,67,100,82,44.8,maskseqService
296.06,55,6.5,56,67,78,72,64.28,ServiceBilling
215,90,1.6,96,73,100,84,9.2,palindromeService
278.08,59,6.1,59,60,78,62,3,Lodge
320,91,23.3,97,73,89,62,237,Courses
126.22,92,14.1,97,73,78,62,19.44,The_x0020_Development_x0020_One_x0020_XMLTV_x0020_Web_x0020_Service
275.87,85,3.8,86,53,89,66,94.61,AnalysisWSAppLabImplService
259.8,88,13.4,96,67,100,82,45.2,msbarService
1345.5,78,4,79,73,78,84,23.25,WSMPsrchService
151,85,28.4,95,83,89,91,18,ProTagService
104,87,18.5,95,73,78,80,1,DOTSTimeZoneAppend
132.73,86,14.3,95,73,78,62,34.91,SkyNodeWS
2141.67,88,3.7,96,73,100,84,1815.34,MatchService
4651,65,0.9,65,73,100,80,273,WS4lsqlService
227,92,15,97,73,100,84,6.6,megamergerService
350.33,91,7.5,91,73,78,80,51.83,OHRwurmIndexService
191.11,87,9.6,95,67,78,77,30.85,GeoAccess
79.65,61,13.3,61,67,100,77,2.75,AWSECommerceService
174.17,88,13.7,96,73,78,84,18.84,EnvioSMS
1760.48,97,2.4,98,67,89,58,18.76,ERSWebCensusMapService
107,83,27.6,84,83,89,91,9,eBayWatcherService
104,92,17.1,97,73,100,80,30.67,EditService
211.4,100,14.7,100,73,100,84,7.8,checktransService
210.33,93,2.3,98,67,67,72,46.33,SyndicationServiceExperimental
126.2,90,7.2,91,73,78,84,9.8,SoapTest
111,83,29,84,83,89,91,8,TemperatureService
72.25,89,10.1,89,78,78,89,2.75,X3WS
115,83,24.6,84,73,100,84,5,AreaService
405,85,6.5,95,73,89,62,16.3,ManageNumbers
495,83,18,84,72,78,86,221,companyPaymentAuthorizationService
861.75,56,6.2,56,78,89,89,9.75,ApniUrdu
244,78,6.9,78,73,89,80,54.25,Catalog
160.5,86,17.2,86,73,89,84,3,zCalcSvc
128.33,94,4.5,98,73,100,80,26.33,ImageryMetaDataService
148.5,87,11.1,95,67,78,82,33.29,USHolidayDates
3347,83,5.6,84,83,89,91,2,OTNGUIDGenerator
3055,56,2.4,57,83,89,91,2.75,PimlService
130.25,78,9.4,79,73,89,84,4,Proverbs
183.42,92,11,97,60,89,79,32.58,Service1
167,85,24.6,95,73,100,84,2,Service1
331,87,20.4,95,73,100,80,46,DownloadService
140.67,63,4.2,64,60,78,62,3,NavigatePublicationTarget
416.25,69,6,70,67,78,72,164.13,NetDicV08
68.83,100,21.4,100,73,100,80,7.33,Image_x0020_Search
867.73,94,4,95,33,78,59,47.46,SaisieFrance2ServiceBeanService
429.38,20,1,21,42,78,72,141,PayPalAPIInterfaceService
837.25,78,5.7,78,73,89,80,55,NewsService
151.75,88,8.7,96,73,100,84,69,NumPager
212.2,90,1.6,96,73,100,84,8.8,oddcompService
151.4,53,5.6,54,73,67,84,88.4,ACMEProducts
275.8,85,12.1,95,73,100,84,8.8,remapService
155,100,28.1,100,67,89,72,8,sekeywordService
258,92,3.2,97,73,100,84,32.4,codcopyService
416.33,46,5.1,46,83,89,91,6.33,PML
206.25,87,6.1,95,60,89,69,96.25,JobSequencerService
197,89,28.6,96,60,89,69,16,checkidService
168.5,88,5,96,60,89,69,1,DataGeneration
281.39,61,6.1,61,67,78,72,59.06,Service1
302.4,91,12.5,97,73,100,84,8.4,textsearchService
123.7,93,15.9,98,67,100,82,0.7,XWebLead
66,83,36.1,84,78,89,89,3,SecureLogin
111,56,13.8,56,83,89,91,6,TfscanService
947,63,6,63,73,89,75,89,IDEC_GeoServeis
145.36,33,3.2,34,67,78,72,2.65,interopLab
443.56,94,6.6,98,60,89,72,232.46,IWebAPIService
173,89,5.1,90,73,89,62,102,GlenXMLService
186,93,10.5,94,73,78,80,56,aotm
2457.5,96,2,99,73,78,84,1.5,MathService
994.26,30,2.8,30,67,78,82,88.47,SympaSOAP
349.8,92,1.4,97,67,100,82,39.4,vrnasuboptService
103,94,36.6,98,80,100,87,1,InteropTestExtensibilityRequired
142,96,29.3,99,73,100,84,17,Testtool
211.57,89,4,96,83,78,91,15.93,eUtilsService
214.8,91,15.4,97,73,89,62,11,dbEMSW2
243,93,13.7,98,58,100,75,9,dottupService
635.42,32,0.3,33,33,78,59,370.75,SABLEThermRPCService
1428,99,7.9,98,73,100,84,1274,RetHeaderService
113.75,8,9.2,9,67,78,72,3.85,sugarsoap
141,90,1.9,96,67,78,72,25,GenerateMapService
196.83,75,1.1,75,73,78,84,36.16,CodiceFiscale
317.59,91,7.7,92,67,100,72,46.24,QueryService
153.79,86,10.1,95,67,100,82,31.79,HR-XML_x0020_Validation_x0020__x0028_2004-08_x0020_release_x0029_
439,86,16.5,95,58,100,80,2,Compound2
110.67,98,1.6,99,73,89,80,45.89,OFACService
317,95,23.8,98,73,100,80,22,DownloadService
843.5,97,5.7,99,58,89,69,98.5,NavneNumreBasis
134.5,72,15.9,72,78,89,89,11,ITempConverterservice
244.25,70,9.3,70,73,67,84,30.13,w_company
292.21,56,6.5,57,67,89,77,54.42,WebServiceDemo
150.4,20,6.5,21,60,89,69,6.8,CWS
256.39,85,5.1,86,53,89,66,77.13,AnalysisWSAppLabImplService
280.36,94,8.2,94,73,78,62,109,ciselniky
309,96,23.5,99,73,100,80,22,DownloadService
156,98,12.5,99,73,100,80,1.5,MovieInformation
348.1,67,2.3,68,73,89,80,74.4,Communication
369.83,66,2.9,67,80,89,83,76.5,Service
573.81,11,3.5,12,67,78,72,36.72,GForgeAPI
218.75,68,2,68,60,89,69,80.75,tipService
1558.07,97,2.6,98,67,89,58,13.14,ERSWebCensusMapService
168.25,56,5.7,57,67,78,72,20.25,PersonService
534.5,72,10.7,72,73,89,75,3.5,KeywordQueryService
77,50,9.2,51,78,89,89,3.2,MyWorld
128.6,89,1.8,96,60,100,69,34.4,BusinessVerification
144.75,56,10.7,56,73,89,75,4.5,CReasonerService
392.5,46,5.6,47,73,89,75,1.5,getMapwsdl
274.8,92,1.6,97,67,100,82,44.8,fdnainvarService
101,93,17.9,98,73,78,80,0.83,DOTSContactValidation
324.5,72,14.6,72,78,89,89,124.5,GetSomeValueService
157.2,53,1.5,53,50,78,66,4.2,Service
113.33,91,5.7,97,73,100,84,45.66,ePrecis
131.15,90,14,97,60,100,79,1.23,XWebNews
221.75,78,9.2,78,73,67,84,82.75,InstantOrder
268.57,85,4.7,86,53,89,66,86.53,AnalysisWSAppLabImplService
171.6,93,6.6,98,73,89,62,1.8,Servicio_ganaderos
136.67,63,6.1,64,78,78,89,3,ParaciteSearchService
57,98,34.6,100,73,100,84,1,GuidGenerator
108,92,25.1,97,73,67,84,2,WSDLInteropTestDocLitService
208.4,94,1.1,98,73,100,84,9.2,einvertedService
123.64,93,14.6,98,67,100,82,1.19,XWebCheckOut
1387.5,78,3.5,79,73,78,84,31,WSTCoffeeService
335.89,36,7.1,37,73,78,83,4.78,Dispenser
83.42,66,1.6,66,73,67,84,3.67,PublicCalendar
337.6,99,2.2,100,58,100,75,39.8,cirdnaService
201.48,53,6.7,54,67,67,82,98.35,_Get
210.79,89,11.5,96,67,100,77,5.61,Service1
512.88,99,6.8,100,67,100,77,17.88,TerraService
341.39,82,0.9,82,53,89,66,122.26,AnalysisWSAppLabImplService
205.5,73,1.9,73,60,78,74,27,VinService
243,63,8.3,63,73,89,75,13.33,Advanced
247.05,89,6.6,89,67,100,77,55.1,AWSECommerceService
843.33,88,3.9,88,67,78,77,467,XigniteMaster
143,83,15.9,84,73,78,84,23,NewsSearchService
140,89,7,96,73,78,84,9.67,GoogleSearchService
201.6,91,1.5,97,73,100,84,7.8,pscanService
214,100,26.7,100,73,78,88,2,Geolizer
50.07,27,11.2,27,67,78,82,5.93,SalesRankNPrice
2204.38,66,0.7,66,73,78,84,2050.13,Research
1462,83,9.9,84,83,89,91,3,VocabularyTermsService
123,99,9.8,100,73,100,84,2.33,AffiliateService
220.8,85,0.8,95,73,100,84,10.8,maskseqService
404.2,87,1.2,95,67,100,82,45,vrnacofoldService
262.6,89,13.3,96,67,100,82,44,sixpackService
209.4,98,1.4,100,73,100,84,10,marscanService
2297.64,98,1.6,98,73,67,84,712.55,interopLab
111,87,27.4,95,58,89,80,2,Compound2
303.2,51,5.6,51,83,89,91,6.6,Blast
1326.5,86,6.8,86,73,78,84,41,User
348,100,2.4,100,67,78,72,16.8,RandomPlayer
275,72,11.8,72,83,89,91,9,EHCIntegrationService
179.5,72,4.1,73,60,100,74,7.5,TaxonomyManager
782,84,1.5,85,73,78,87,3,ReportReadingWS
104,90,3.4,96,80,78,87,39,ccydemo
481.9,94,2.1,94,67,67,84,6.7,NetworkNode
103,85,16.1,95,73,78,80,0.89,DOTSFastWeather
799,99,14.4,95,58,89,80,723,Compound2
319.3,85,0.4,85,53,89,66,128.13,AnalysisWSAppLabImplService
144.31,56,7.4,57,60,67,74,105.5,BCHService
281,90,10.2,97,67,78,77,0.82,XigniteEmerging
703.25,92,3.6,97,73,100,80,265.25,dic2
327.86,94,6.3,98,67,100,77,4.22,FmWS
104.6,51,6.7,51,83,89,91,24.2,StretcherService
119,95,31.3,98,73,100,84,18,ConvertCSharp2VBService
278.87,86,4.9,86,53,89,66,84,AnalysisWSAppLabImplService
2835.56,97,2,99,73,78,62,13.45,Tiscali_x0020_Presence_x0020_Services
114,83,24.1,84,73,89,84,4,Import1
331.43,85,1.1,86,53,89,66,93.52,AnalysisWSAppLabImplService
212.5,100,13,100,78,78,91,6,PegsTourService
396,72,6.7,72,67,89,72,10,ndfdXML
139.5,85,23.2,95,83,89,91,19,ARTSPDF_Online_Collaboration
1479.78,65,2.8,65,73,89,80,44,ArticleArchive
227,91,14.2,97,58,100,75,10.6,octanolService
75.13,20,4.4,20,60,78,79,5.17,AmazonSearchService
575.5,86,6.4,95,67,100,82,1,EmailVerify
1316.75,88,3.8,96,80,100,87,308,Service1
1383.33,91,3.2,91,73,78,84,41.83,WSFastaService
144.75,98,2.1,100,73,78,84,2.25,CalculationService
872,83,15.4,84,78,89,89,14,Discordian
136.33,46,8.6,46,73,89,84,4.33,Euro42
571,83,8.4,84,67,89,72,4,FSCWarrantyClaimManagement_WebServices_TranslationToolService
201.12,44,0.9,44,67,89,72,112.87,MapImage
462,99,12.7,100,73,78,80,11,NED
189,100,15.4,100,73,100,84,21.5,DevLeap_x0020_-_x0020_Codice_x0020_Fiscale
670,93,13.2,98,80,100,89,16,SerClsWSPasarelaPINPADService
1410,83,10.6,84,83,89,91,5,LanguagesService
175,86,9.4,86,73,78,84,3,geographyRequests
620.5,96,8.7,99,73,100,80,398,MacamMailer
143.6,98,16.7,100,73,78,62,34.4,USHolidayService
748,100,17.3,100,80,89,65,29,getOtherInformation
1321.5,78,4.1,78,73,78,84,27.25,WSMuscleService
109,90,24.1,97,73,67,84,2,WSDLInteropTestDocLitService
218.8,89,1.4,96,73,100,84,9.2,shuffleseqService
421,63,6.7,63,67,78,85,57,IKtoPruefservice
40,72,14,72,73,78,84,2,XarayaSoap
319.25,89,2.6,96,73,100,80,99.5,AirlineService
1648.5,74,3.8,74,83,89,91,265.5,GetNodes
338.87,86,2.5,86,53,89,66,97.09,AnalysisWSAppLabImplService
648,92,0.6,97,73,78,84,3,CurrencyConvertor
90.12,69,6.5,70,73,89,84,21.37,DictionaryManager
560.62,100,2.2,100,78,89,89,41.85,?????????
136,89,20.3,96,60,89,69,51,IngesterServiceService
192,98,1.3,100,73,100,84,14,caiService
602,90,18.7,96,73,100,84,19,Calculo
146.88,92,13.4,93,73,78,75,11.88,ContentFinder
57.42,66,12.5,66,67,100,77,5.31,AWSECommerceService
257,94,1.2,98,67,100,82,37.2,revseqService
84,95,22.4,99,50,89,77,1,GtsInterfacesService
206,95,1.2,98,73,100,84,8.8,etandemService
199,96,13.5,99,73,100,84,36,LetterSoup
267,98,9.5,100,80,78,65,2,politicalareareport
232,100,13,100,73,100,84,51.5,sendOIOXML
332,97,10.4,99,80,100,86,2.29,Glide
753,72,7.7,72,73,78,84,1.5,SOAP_AldiaService
266.6,88,1.9,96,67,100,82,43.2,garnierService
87.9,67,14.7,67,73,67,80,37.8,TableJobs
505,89,7.8,96,83,89,91,32.67,WitwService
98.67,91,18.6,97,67,78,77,0.67,XigniteTools
216.5,98,4,100,67,100,77,17.5,muller
3356.5,91,1.5,97,60,78,79,19.07,Service
622.33,75,6.3,76,53,89,66,7,SubjectBrowserService
108.5,86,16.5,86,80,89,87,2.5,SQL_x0020_Formatter_x0020_Web_x0020_Service
119.67,94,11.8,98,73,78,80,2,WSDLInteropTestDocLit
262.4,96,3.2,99,73,100,84,48.6,mwfilterService
78,92,36.9,97,73,100,84,1,Service1
736.5,86,9.2,86,73,78,84,2,TrafficService
310.74,86,3.6,86,53,89,66,93.78,AnalysisWSAppLabImplService
292,86,3.8,87,53,89,66,90,AnalysisWSAppLabImplService
1147.3,27,3.2,28,60,78,79,1.91,IACHSOAPservice
234.5,89,23.7,96,78,89,89,106,WebServiceAgentService
250.8,100,1.4,100,50,100,72,42.4,sycoService
195.75,86,13.3,95,67,78,82,1.13,GreenchoiceNewCustomer
213,85,1.8,95,73,100,84,8.2,oddcompService
1226.67,63,1.9,64,83,89,91,869,Blast
268,88,10.9,88,67,78,72,11,decompImplementationService
62.05,72,10.2,73,67,100,77,6.05,AWSECommerceService
82,83,38.7,84,80,89,57,2,dConverterSOAP
352.5,86,4.5,86,73,89,84,267.5,wsStrings
462.5,78,2.7,79,73,67,84,177.5,Source_x0020_Code_x0020_Community_x0020_WebService
379.2,96,1.1,99,67,100,82,44.4,vrnacofoldpfService
94.67,98,4.7,99,73,100,84,16.34,MSN
135,97,7.5,99,73,78,84,9,GoogleSearchService
337,93,4.7,98,67,78,72,27,PathInfoBPService
231.8,94,15.3,98,73,100,84,5.8,showorfService
288.21,93,7.7,98,67,78,82,16,CreditCard
215,98,1.6,100,73,78,84,3,AreaUnit
101.5,90,1.4,97,58,100,75,8.25,ServiceRequest
257.8,92,1.1,97,73,100,84,8.2,extractseqService
147,83,13.2,84,80,100,83,2,MyWebService
543,95,9.3,99,73,100,84,7.4,notseqService
160,83,25.7,84,78,89,89,3,AnnotateService
409,84,1,85,53,89,66,167,AnalysisWSAppLabImplService
205,83,21.2,84,83,89,91,4,Simple
101,85,16.1,95,73,89,75,16,BFOGraphService
473.67,63,7.9,63,67,78,72,7.34,DistrictServiceService
331.5,88,4.6,96,73,78,84,29.5,ICD9ToICD10
107.57,89,2.2,96,73,100,80,5.71,MyAmazonSecure
47.56,62,7.5,63,67,89,72,1.81,OA_DGV
200.2,100,1.1,100,73,100,84,10.4,nthseqService
706,86,3.2,95,73,78,84,15.5,UDDIBusinessFinder
188.67,68,0.6,68,67,89,72,60,RouteFinder
390,72,16.2,72,78,89,89,119,PlaceCatalogService
229.78,16,11.6,17,72,78,86,3.19,Guthrie
161,83,25.6,84,78,89,89,4,IDutchservice
356.67,66,3,66,80,89,83,59.5,Service
325.97,12,3.5,13,67,78,72,25.23,otoMotoWebApi
317.8,90,1.3,97,67,100,82,46.2,vrnaheatService
199.25,92,8.2,97,80,100,87,20,ProfileSettingsService
